code,kind,super_class,preferred,preferred_中文,shortTitle,shortTitle_中文,inclusion,inclusion_中文,exclusion,exclusion_中文,criteria,criteria_中文,consider,consider_中文,note,note_中文,icd10
U13,symptom,U.1,Bladder symptom/complaint other,其他膀胱症状/主诉,Bladder symptom/complaint other,其他膀胱症状/主诉,bladder pain; irritable bladder,膀胱痛； irritative膀胱,,,,,,,,,R39.8
U14,symptom,U.1,Kidney symptom/complaint,肾脏症状/主诉,Kidney symptom/complaint,肾脏症状/主诉,kidney pain; kidney trouble; renal colic,肾痛；肾病；肾绞痛,loin/flank pain ,腰痛/胁痛,,,,,,,N23
U26,symptom,U.1,Fear of cancer of urinary system,泌尿系统癌症恐惧症,Fear of cancer of urinary system,泌尿系统癌症恐惧症,,,"if the patient has the disease, code the disease",如果患者患有该疾病，编码该疾病,concern about/fear of urinary cancer in a patient without the disease/until the diagnosis  is proven,疑有/恐患泌尿系统癌症（于未确诊患者中）,,,,,Z71.1
U27,symptom,U.1,Fear of urinary disease other,其他尿路疾病恐惧症,Fear of urinary disease other,其他尿路疾病恐惧症,,,fear of cancer of urinary system ,泌尿系统癌症恐惧症,concern about/fear of other urinary disease in a patient without the disease/until the diagnosis is proven,疑有/恐患其他泌尿系统疾病（患者无病时/诊断未明确前）,,,,,Z71.1
U28,symptom,U.1,Limited function/disability (U),有限功能/残疾 (U),Limited function/disability (U),有限功能/残疾 (U),renal transplant; slow stream,肾移植；缓慢流率,urinary incontinence ,尿失禁,limitation of function/disability due to a urinary problem,尿路问题所致的功能限制/残疾,,,The COOP/WONCA Charts are suitable for documenting the patient's functional status (see Chapter 8).,COOP/WONCA图表适合记录患者的功能状态（见第八章）。,Z73.6; Z99.2
U29,symptom,U.1,Urinary symptom/complaint other,其他泌尿系统症状/主诉,Urinary symptom/complaint other,其他泌尿系统症状/主诉,,,irritable bladder/bladder pain ,膀胱过度活动症/膀胱痛,,,,,,,R39.8
U70,infection,U.7,Pyelonephritis/pyelitis,肾盂肾炎/肾盂炎,Pyelonephritis/pyelitis,肾盂肾炎/肾盂炎,infection of kidney; renal/perinephric abscess,肾感染；肾周/肾周围脓肿,,,"two of  the following: flank pain, renal tenderness, investigation evidence of chronic renal damage; plus clinical or laboratory evidence of urinary tract infection",以下的两条中的任意两条：腰痛、肾区压痛、慢性肾脏损害的检查证据；加上泌尿系统感染的临床或实验室证据,cystitis/other urinary infection ,膀胱炎/其他泌尿系统感染,,,N10; N11.0; N11.1; N11.8; N11.9; N12; N15.1; N15.9
U71,infection,U.7,Cystitis/urinary infection other,膀胱炎/其他泌尿系感染,Cystitis/urinary infection other,膀胱炎/其他泌尿系感染,acute/chronic cystitis (non-venereal); asymptomatic bacteriuria; lower urinary tract infection; urinary tract infection NOS,急性/慢性膀胱炎（非性传播）；无症状菌尿症；下尿路感染；泌尿道感染 NOS,pyelonephritis ,肾盂肾炎,,,,,in pregnancy also code ,妊娠亦见编码,N30.0; N30.1; N30.2; N30.3; N30.4; N30.8; N30.9; N39.0
U72,infection,U.7,Urethritis,尿道炎,Urethritis,尿道炎,chlamydial urethritis in man; meatitis; nonspecific urethritis; urethral syndrome,沙眼衣原体尿道炎；阴茎头炎；非特异性尿道炎；尿道综合征,gonococcal urethritis female ,女性淋球菌尿道炎,"urethral discharge with frequency, burning, pain or urgency on urination without bacteriuria by microscopy or culture; or inflammation of external urinary meatus",尿道分泌物伴频尿、排尿时灼痛、疼痛或急迫感，而显微镜检查和培养无菌；或外尿道口炎症,painful urination ,排尿痛,,,A56.0; A56.2; B37.4; N34.0; N34.1; N34.2; N34.3
U75,neoplasm,U.7,Malignant neoplasm of kidney,肾脏恶性肿瘤,Malignant neoplasm of kidney,肾脏恶性肿瘤,,,,,characteristic histologic appearance,特征性组织学表现,neoplasm urinary tract NOS ,泌尿道肿瘤 NOS,,,C64; C65
U76,neoplasm,U.7,Malignant neoplasm of bladder,恶性膀胱肿瘤,Malignant neoplasm of bladder,恶性膀胱肿瘤,,,,,characteristic histologic appearance,特征性组织学表现,neoplasm urinary tract NOS ,泌尿道肿瘤 NOS,,,C67.0; C67.1; C67.2; C67.3; C67.4; C67.5; C67.6; C67.7; C67.8; C67.9
U77,neoplasm,U.7,Malignant neoplasm urinary tract other,恶性泌尿系统肿瘤其他部位,Malignant neopl urinary tract other,恶性泌尿系统肿瘤其他部位,malignant neoplasm ureter; malignant neoplasm urethra,恶性尿道肿瘤; 恶性输尿管肿瘤,malignant neoplasm prostate ,前列腺恶性肿瘤,characteristic histologic appearance,特征性组织学表现,neoplasm urinary tract NOS ,泌尿道肿瘤 NOS,,,C66; C68.0; C68.1; C68.8; C68.9
U78,neoplasm,U.7,Benign neoplasm urinary tract,良性泌尿道肿瘤,Benign neoplasm urinary tract,良性泌尿道肿瘤,bladder papilloma; polyp of urinary tract,膀胱乳头状瘤；泌尿系统多发性息肉,prostatic hypertrophy ,前列腺肥大,characteristic histologic appearance,特征性组织学表现,neoplasm urinary tract NOS ,泌尿道肿瘤 NOS,,,D30.0; D30.1; D30.2; D30.3; D30.4; D30.7; D30.9
U79,neoplasm,U.7,Neoplasm urinary tract unspecified,尿路肿瘤未特指,Neoplasm urinary tract unspecified,尿路肿瘤未特指,neoplasm of bladder/kidney/ureter/urethra not specified as benign or malignant/when histology is not available,膀胱/肾脏/输尿管/尿道肿瘤性质未明（当病理组织学检查结果不可得时）,malignant neoplasm kidney ,恶性肾肿瘤,,,,,,,D09.0; D09.1; D41.0; D41.1; D41.2; D41.3; D41.4; D41.7; D41.9
U80,injury,U.7,Injury urinary tract,尿道损伤,Injury urinary tract,尿道损伤,contusion kidney; foreign body in urinary tract,肾挫伤；尿路异物,,,,,,,,,S37.0; S37.1; S37.2; S37.3; T19.0; T19.1; T28.3; T28.8
U85,congenital,U.7,Congenital anomaly urinary tract,先天性泌尿系统异常,Congenital anomaly urinary tract,先天性泌尿系统异常,congenital polycystic kidney; duplex kidney/ureter,先天性多囊肾；重复肾/输尿管,,,,,,,,,Q60.0; Q60.1; Q60.2; Q60.3; Q60.4; Q60.5; Q60.6; Q61.0; Q61.1; Q61.2; Q61.3; Q61.4; Q61.5; Q61.8; Q61.9; Q62.0; Q62.1; Q62.2; Q62.3; Q62.4; Q62.5; Q62.6; Q62.7; Q62.8; Q63.0; Q63.1; Q63.2; Q63.3; Q63.8; Q63.9; Q64.0; Q64.1; Q64.2; Q64.3; Q64.4; Q64.5; Q64.6; Q64.7; Q64.8; Q64.9
U88,otherDiagnosis,U.7,Glomerulonephritis/nephrosis,肾小球肾炎/肾病综合征,Glomerulonephritis/nephrosis,肾小球肾炎/肾病综合征,acute glomerulonephritis; analgesic nephropathy; chronic glomerulo-nephritis; nephritis; nephropathy; nephrosclerosis; nephrotic syndrome,急性肾小球肾炎；镇痛药性肾病；慢性肾小球肾炎；肾炎；肾病；肾硬化；肾病综合征,renal failure ,肾衰竭,"three or more of the following: hematuria, proteinuria, renal salt and water retention, decreased renal function, persistent urinary sediment abnormalities; or renal biopsy evidence",以下三条或以上：血尿，蛋白尿，肾盐和水潴留，肾功能减退，持续的尿沉渣异常；或肾活检证据,kidney symptom/complaint ,肾脏症状/主诉,,,N00.0; N00.1; N00.2; N00.3; N00.4; N00.5; N00.6; N00.7; N00.8; N00.9; N01.0; N01.1; N01.2; N01.3; N01.4; N01.5; N01.6; N01.7; N01.8; N01.9; N03.0; N03.1; N03.2; N03.3; N03.4; N03.5; N03.6; N03.7; N03.8; N03.9; N04.0; N04.1; N04.2; N04.3; N04.4; N04.5; N04.6; N04.7; N04.8; N04.9; N05.0; N05.1; N05.2; N05.3; N05.4; N05.5; N05.6; N05.7; N05.8; N05.9; N07.0; N07.1; N07.2; N07.3; N07.4; N07.5; N07.6; N07.7; N07.8; N07.9; N08.0; N08.1; N08.2; N08.3; N08.4; N08.5; N08.8; N14.0; N14.1; N14.2; N14.3; N14.4; N15.0; N15.8; N16.0; N16.1; N16.2; N16.3; N16.4; N16.5; N16.8
U90,otherDiagnosis,U.7,Orthostatic albuminuria/proteinuria,直立性白蛋白尿/蛋白尿,Orthostatic albuminuria/proteinuria,直立性白蛋白尿/蛋白尿,postural proteinuria,立位蛋白尿,,,"albuminuria following ambulation, no albuminuria following overnight recumbency and no evidence of renal disease",步行后尿蛋白阳性，夜间卧床后无尿蛋白，无肾病证据,proteinuria NOS ,蛋白尿 NOS,,,N39.2
U95,otherDiagnosis,U.7,Urinary calculus,尿路结石,Urinary calculus,尿路结石,calculus/stone in bladder/kidney/ureter; urolithiasis,膀胱/肾脏/输尿管结石；尿路结石,,,colicky pain and either haematuria or history of urinary stone in the past; or passage of calculus; or imaging evidence of calculus,阵发性疼痛伴血尿或既往泌尿系结石史；或排石；或影像学证据显示有结石,blood in urine ,血尿,,,N20.0; N20.1; N20.2; N20.9; N21.0; N21.1; N21.8; N21.9; N22.0; N22.8
U98,otherDiagnosis,U.7,Abnormal urine test NOS,异常尿检 NOS,Abnormal urine test NOS,异常尿检 NOS,glycosuria; proteinuria; pus in urine; pyuria,尿糖；蛋白尿；尿脓细胞；脓尿,haematuria/blood in urine ,血尿,,,,,,,N39.1; R80; R81; R82.0; R82.1; R82.2; R82.3; R82.4; R82.5; R82.6; R82.7; R82.8; R82.9
U99,otherDiagnosis,U.7,Urinary disease other,其他泌尿系统疾病,Urinary disease other,其他泌尿系统疾病,bladder diverticulum; hydronephrosis; hypertrophic kidney; obstruction bladder neck; renal failure; uraemia; ureteric reflux; urethral caruncle; urethral stricture,膀胱憩室；肾积水；肾肥大；膀胱颈梗阻；肾衰竭；尿毒症；输尿管反流；尿道息肉；尿道狭窄,,,,,,,,,N06.0; N06.1; N06.2; N06.3; N06.4; N06.5; N06.6; N06.7; N06.8; N06.9; N13.0; N13.1; N13.2; N13.3; N13.4; N13.5; N13.6; N13.7; N13.8; N13.9; N17.0; N17.1; N17.2; N17.8; N17.9; N18.1; N18.2; N18.3; N18.4; N18.5; N18.9; N19; N25.0; N25.1; N25.8; N25.9; N26; N27.0; N27.1; N27.9; N28.0; N28.1; N28.8; N28.9; N29.0; N29.1; N29.8; N31.0; N31.1; N31.2; N31.8; N31.9; N32.0; N32.1; N32.2; N32.3; N32.4; N32.8; N32.9; N33.0; N33.8; N35.0; N35.1; N35.8; N35.9; N36.0; N36.1; N36.2; N36.3; N36.8; N36.9; N37.0; N37.8; N39.8; N39.9; R39.2; T19.8; T19.9; Z90.5; Z90.6
W01,symptom,W.1,Question of pregnancy,妊娠疑诊,Question of pregnancy,妊娠疑诊,delayed menstruation; symptoms suggestive of pregnancy,延迟月经；妊娠症状,fear of pregnancy ,恐孕症,,,,,,,Z32.0
W02,symptom,W.1,Fear of pregnancy,妊娠恐惧症,Fear of pregnancy,妊娠恐惧症,concern about possibility of unwanted pregnancy,意外怀孕的可能性担忧,concern/fear if unwanted pregnancy confirmed ,如有意外怀孕的担忧/恐惧,,,,,,,Z71.1
W03,symptom,W.1,Antepartum bleeding,产前出血,Antepartum bleeding,产前出血,threatened abortion,难免流产,,,,,,,,,O20.0; O20.8; O20.9; O46.0; O46.8; O46.9
W05,symptom,W.1,Pregnancy vomiting/nausea,妊娠呕吐/恶心,Pregnancy vomiting/nausea,妊娠呕吐/恶心,hyperemesis gravidarum; morning sickness in confirmed pregnancy,妊娠剧吐；确认妊娠后的恶心呕吐,,,,,,,,,O21.0; O21.1; O21.2; O21.8; O21.9
W10,symptom,W.1,Contraception postcoital,产后避孕,Contraception postcoital,产后避孕,morning after pill,紧急避孕药,,,,,,,,,Z30.3
W11,symptom,W.1,Contraception oral,口服避孕药,Contraception oral,口服避孕药,family planning in women using oral hormonal therapy,口服激素疗法的女性避孕措施,,,,,,,,,Z30.4
W12,symptom,W.1,Contraception intrauterine,宫内避孕,Contraception intrauterine,宫内避孕,family planning using IUD,宫内节育器避孕,,,,,,,,,Z30.1; Z30.5
W13,symptom,W.1,Sterilization female,女性绝育术,Sterilization female,女性绝育术,family planning involving female sterilization,女性绝育的计划生育措施,,,,,,,,,Z30.2
W14,symptom,W.1,Contraception female other,女性其他避孕方法,Contraception female other,女性其他避孕方法,contraception NOS; family planning NOS,避孕 NOS；计划生育 NOS,genetic counseling ,遗传咨询,,,,,,,Z30.0; Z30.8; Z30.9
W15,symptom,W.1,Infertility/subfertility female,女性不育/亚 fertile状态,Infertility/subfertility female,女性不育/亚 fertile状态,primary and secondary sterility,原发性和继发性不育,,,failure to conceive after 2 years of trying,两年内未能受孕,"Pregnancy symptom/complaint, other ",其他妊娠症状/主诉,,,N97.0; N97.1; N97.2; N97.3; N97.4; N97.8; N97.9; Z31.0; Z31.1; Z31.2; Z31.3; Z31.4; Z31.6; Z31.8; Z31.9
W17,symptom,W.1,Post-partum bleeding,产后出血,Post-partum bleeding,产后出血,,,,,heavy bleeding at or within 6 weeks of parturition,产后6周内严重出血,other post-partum complaints ,其他产褥期主诉,,,O72.0; O72.1; O72.2; O72.3
W18,symptom,W.1,Post-partum symptom/complaint other,产后症状/主诉其他,Post-partum symptom/complaint other,产后症状/主诉其他,,,puerperal depression ,产后抑郁,complaints related to and within six weeks of parturition,产后六周内的主诉,,,,,O90.9
W19,symptom,W.1,Lactation symptom/complaint,哺乳症状/主诉,Lactation symptom/complaint,哺乳症状/主诉,galactorrhoea; suppression of lactation; weaning,泌乳；抑制泌乳；断奶,puerperal mastitis ,产褥期乳腺炎,,,,,,,O92.5; O92.6; O92.7
W21,symptom,W.1,Concern about body image related to pregnancy,与妊娠相关的身体形象担忧,Concern with body image in pregnancy,妊娠期身体形象的关注,,,,,,,,,,,R46.8
W27,symptom,W.1,Fear of complications of pregnancy,妊娠并发症恐惧症,Fear of complications of pregnancy,妊娠并发症恐惧症,fear of congenital anomaly in baby,胎儿先天异常的恐惧,"if the patient has the complication, code the complication",如果患者有并发症，编码并发症,concern about/fear of complications in a patient without them/until they are proven,患者无并发症但担心/害怕可能出现的并发症,,,,,Z71.1
W28,symptom,W.1,Limited function/disability (W),有限功能/残疾 (W),Limited function/disability (W),有限功能/残疾 (W),pelvic instability,盆腔不稳定,,,limitation of function/disability due to or related to pregnancy,妊娠所致的功能限制/残疾,,,The COOP/WONCA Charts are suitable for documenting the patient's functional status (see Chapter 8).,COOP/WONCA图表适合记录患者的功能状态（见第八章）。,Z73.6
W29,symptom,W.1,Pregnancy symptom/complaint other,妊娠症状/主诉其他,Pregnancy symptom/complaint other,妊娠症状/主诉其他,family planning symptom/complaint other,其他计划生育症状/主诉,,,,,,,,,O26.0; O26.1; O26.2; O26.3; O26.5
W70,infection,W.7,Puerperal infection/sepsis,产褥感染/脓毒症,Puerperal infection/sepsis,产褥感染/脓毒症,,,obstetric tetanus ,产科破伤风,infection of birth canal or reproductive organs within 6 weeks of parturition,产后6周内产道或生殖器官感染,,,,,O85; O86.1; O86.3
W71,infection,W.7,Other infection complicating pregnancy/puerperium,其他妊娠/产褥期感染并发症,Other infect complic pregn/puerp,其他妊娠/产褥期感染并发症,,,puerperal infection ,产褥感染,,,,,,,O23.0; O23.1; O23.2; O23.3; O23.4; O23.5; O23.9; O26.4; O41.1; O75.2; O75.3; O86.2; O86.4; O86.8; O98.0; O98.1; O98.2; O98.3; O98.4; O98.5; O98.6; O98.7; O98.8; O98.9
W72,neoplasm,W.7,Malignant neoplasm related to pregnancy,与妊娠相关的恶性肿瘤,Malignant neopl related to pregnancy,与妊娠相关的恶性肿瘤,choriocarcinoma; chorioepithelioma,"绒毛膜癌；胎盘部位滋养细胞肿瘤（注：chioepithelioma通常指的也是绒毛膜癌，但有时特指一种不同的病变，在没有更多上下文的情况下，保留两个术语以示区分） 

如需严格按照标准医学术语且不作额外解释，则绒毛膜癌对应：
绒毛膜癌

对于chioepithelioma，若需严格翻译而不做扩展说明则可省略。",,,,,,,,,C58
W73,neoplasm,W.7,Benign/unspecified neoplasm related to pregnancy,与妊娠相关的良性/未特指的肿瘤,Benign/unspecif neopl relat to pregn,良性/未特指与妊娠相关的肿瘤,benign neoplasm related to pregnancy; hydatidiform mole; neoplasm related to pregnancy not specified as benign or maligant/when histology is not available,良性与妊娠相关的肿瘤；水泡状胎块；未指明为良性的或恶性的与妊娠相关的肿瘤/当组织学资料不可用时,,,,,,,,,O01.0; O01.1; O01.9
W75,injury,W.7,Injury complicating pregnancy,妊娠并发症损伤,Injury complicating pregnancy,妊娠并发症损伤,results of injury interfering with pregnancy,损伤所致妊娠并发症,new injury caused by childbirth (complicated labour/delivery livebirth) ,分娩所致的新伤（难产/活产）,,,,,,,T14.9
W76,congenital,W.7,Congenital anomaly complicating pregnancy,妊娠期先天性异常并发症,Congen anom complicating pregnancy,先天异常妊娠并发症,maternal anomaly which could affect pregnancy/childbirth,母体异常，可能影响妊娠/分娩,,,,,,,,,O99.8
W78,otherDiagnosis,W.7,Pregnancy,妊娠,Pregnancy,妊娠,,,unwanted pregnancy ,意外怀孕,,,,,,,Z32.1; Z33; Z34.0; Z34.8; Z34.9; Z36.0; Z36.1; Z36.2; Z36.3; Z36.4; Z36.5; Z36.8; Z36.9
W79,otherDiagnosis,W.7,Unwanted pregnancy,意外怀孕,Unwanted pregnancy,意外怀孕,,,,,,,,,,,Z32.1; Z64.0
W80,otherDiagnosis,W.7,Ectopic pregnancy,异位妊娠,Ectopic pregnancy,异位妊娠,,,,,"confirmation by ultrasound, laparoscopy, culdoscopy or surgery",超声确认，腹腔镜检查，阴道镜检查或手术确诊,antepartum bleeding ,产前出血,,,O00.0; O00.1; O00.2; O00.8; O00.9
W81,otherDiagnosis,W.7,Toxaemia of pregnancy,妊娠毒血症,Toxaemia of pregnancy,妊娠毒血症,eclampsia; hypertension in pregnancy; pre-eclampsia; proteinuria and oedema in pregnancy,子痫；妊娠期高血压；先兆子痫；妊娠蛋白尿和水肿,pre-existing hypertension ,既往高血压,,,"Pregnancy symptom/complaint, other ",其他妊娠症状/主诉,,,O10; O11; O12.0; O12.1; O12.2; O13; O14.0; O14.1; O14.2; O14.9; O15.0; O15.1; O15.2; O15.9; O16
W82,otherDiagnosis,W.7,Abortion spontaneous,难免流产,Abortion spontaneous,难免流产,abortion complete/incomplete/missed/habitual; miscarriage,完全流产/不全流产/稽留流产/习惯性流产,antepartum bleeding ,产前出血,,,,,,,N96; O02.0; O02.1; O02.8; O02.9; O03.0; O03.1; O03.2; O03.3; O03.4; O03.5; O03.6; O03.7; O03.8; O03.9; O05.0; O05.1; O05.2; O05.3; O05.4; O05.5; O05.6; O05.7; O05.8; O05.9; O06.0; O06.1; O06.2; O06.3; O06.4; O06.5; O06.6; O06.7; O06.8; O06.9
W83,otherDiagnosis,W.7,Abortion induced,人工流产,Abortion induced,人工流产,"termination of pregnancy, all complications",终止妊娠，所有并发症,,,,,,,,,O04.0; O04.1; O04.2; O04.3; O04.4; O04.5; O04.6; O04.7; O04.8; O04.9; Z30.3
W84,otherDiagnosis,W.7,Pregnancy high risk,妊娠高危,Pregnancy high risk,妊娠高危,aged primipara; anaemia of pregnancy; diabetes/other pre-existing chronic disease affecting pregnancy; disproportion; hydramnios; malpresentation; multiple pregnancy; placenta praevia; premature labour; previous caesarian section; small foetus for age,高龄初产妇；妊娠期贫血；糖尿病及其他影响妊娠的原有慢性疾病；头盆不称；羊水过多；胎位异常；多胎妊娠；前置胎盘；早产；既往剖宫产史；小于孕周胎儿,infections complicating pregnancy ,妊娠期感染并发症,,,,,,,O24.0; O24.1; O24.2; O24.3; O24.9; O25; O30.0; O30.1; O30.2; O30.8; O30.9; O31.0; O31.1; O31.2; O31.8; O32.0; O32.1; O32.2; O32.3; O32.4; O32.5; O32.6; O32.8; O32.9; O33.0; O33.1; O33.2; O33.3; O33.4; O33.5; O33.6; O33.7; O33.8; O33.9; O34.0; O34.1; O34.2; O34.3; O34.4; O34.5; O34.6; O34.7; O34.8; O34.9; O35.0; O35.1; O35.2; O35.3; O35.4; O35.5; O35.6; O35.7; O35.8; O35.9; O36.0; O36.1; O36.2; O36.3; O36.4; O36.5; O36.6; O36.7; O36.8; O36.9; O40; O43.0; O43.1; O43.2; O43.8; O43.9; O44.0; O44.1; O60.0; O99.0; O99.1; O99.2; O99.3; O99.4; O99.5; O99.6; O99.7; O99.8; Z35.0; Z35.1; Z35.2; Z35.3; Z35.4; Z35.5; Z35.6; Z35.7; Z35.8; Z35.9
W85,otherDiagnosis,W.7,Gestational diabetes,妊娠糖尿病,Gestational diabetes,妊娠糖尿病,diabetes manifested during pregnancy,妊娠期糖尿病,pre-existing diabetes (Diabetes insulin dependent) ,原有糖尿病（1型糖尿病）,Current WHO criteria for gestational diabetes,当前WHO妊娠糖尿病诊断标准,hyperglycaemia ,高血糖症,,,O24.4
W90,otherDiagnosis,W.7,Uncomplicated labour/delivery livebirth,无并发症的分娩活产,Uncompl labour/delivery livebirth,未并发的正常分娩活产,,,,,,,,,,,O80.0; O80.1; O80.8; O80.9; Z37.0; Z37.9; Z38.0; Z38.1; Z38.2; Z38.3; Z38.4; Z38.5; Z38.6; Z38.7; Z38.8; Z39.0; Z39.1; Z39.2
W91,otherDiagnosis,W.7,Uncomplicated labour/delivery stillbirth,未并发症的分娩死胎,Uncompl labour/delivery stillbirth,未并发疾病的分娩死胎,,,,,,,,,,,Z37.1; Z37.9
W92,otherDiagnosis,W.7,Complicated labour/delivery livebirth,复杂分娩活产,Compl labour/ delivery livebirth,产程并发症/分娩活产儿,"livebirth after complicated delivery: assisted extraction, breech delivery, caesarian section, dystocia, induction of labour, injuries caused by childbirth, placenta praevia in delivery, version",活产经复杂分娩：助产取出、臀位分娩、剖宫产、难产、引产、分娩造成的损伤、前置胎盘分娩、转胎位,post-partum haemorrhage ,产后出血,,,,,,,O42.0; O42.1; O42.2; O42.9; O45.0; O45.8; O45.9; O60.1; O60.2; O60.3; O61.0; O61.1; O61.8; O61.9; O62.0; O62.1; O62.2; O62.3; O62.4; O62.8; O62.9; O63.0; O63.1; O63.2; O63.9; O64.0; O64.1; O64.2; O64.3; O64.4; O64.5; O64.8; O64.9; O65.0; O65.1; O65.2; O65.3; O65.4; O65.5; O65.8; O65.9; O66.0; O66.1; O66.2; O66.3; O66.4; O66.5; O66.8; O66.9; O67.0; O67.8; O67.9; O68.0; O68.1; O68.2; O68.3; O68.8; O68.9; O69.0; O69.1; O69.2; O69.3; O69.4; O69.5; O69.8; O69.9; O70.0; O70.1; O70.2; O70.3; O70.9; O71.0; O71.1; O71.2; O71.3; O71.4; O71.5; O71.6; O71.7; O71.8; O71.9; O73.0; O73.1; O75.0; O75.1; O75.4; O75.5; O75.6; O75.7; O75.8; O75.9; O81.0; O81.1; O81.2; O81.3; O81.4; O81.5; O82.0; O82.1; O82.2; O82.8; O82.9; O83.0; O83.1; O83.2; O83.3; O83.4; O83.8; O83.9; O84.0; O84.1; O84.2; O84.8; O84.9; Z37.2; Z37.5; Z37.9; Z38.0; Z38.1; Z38.2; Z38.3; Z38.4; Z38.5; Z38.6; Z38.7; Z38.8; Z39.0; Z39.1; Z39.2
W93,otherDiagnosis,W.7,Complicated labour/delivery stillbirth,复杂分娩死胎,Compl labour/delivery stillbirth,并发症性分娩死胎,"stillbirth after complicated delivery: assisted extraction, breech delivery, caesarian section, dystocia, induction of labour, injuries caused by childbirth, placenta praevia in delivery, version",死产（伴有复杂分娩）：助产取出、臀位分娩、剖宫产、难产、引产、分娩造成的损伤、前置胎盘分娩、转位,post-partum haemorrhage ,产后出血,,,,,,,O42.0; O42.1; O42.2; O42.9; O45.0; O45.8; O45.9; O60.1; O60.2; O60.3; O61.0; O61.1; O61.8; O61.9; O62.0; O62.1; O62.2; O62.3; O62.4; O62.8; O62.9; O63.0; O63.1; O63.2; O63.9; O64.0; O64.1; O64.2; O64.3; O64.4; O64.5; O64.8; O64.9; O65.0; O65.1; O65.2; O65.3; O65.4; O65.5; O65.8; O65.9; O66.0; O66.1; O66.2; O66.3; O66.4; O66.5; O66.8; O66.9; O67.0; O67.8; O67.9; O68.0; O68.1; O68.2; O68.3; O68.8; O68.9; O69.0; O69.1; O69.2; O69.3; O69.4; O69.5; O69.8; O69.9; O70.0; O70.1; O70.2; O70.3; O70.9; O71.0; O71.1; O71.2; O71.3; O71.4; O71.5; O71.6; O71.7; O71.8; O71.9; O73.0; O73.1; O75.0; O75.1; O75.4; O75.5; O75.6; O75.7; O75.8; O75.9; O81.0; O81.1; O81.2; O81.3; O81.4; O81.5; O82.0; O82.1; O82.2; O82.8; O82.9; O83.0; O83.1; O83.2; O83.3; O83.4; O83.8; O83.9; O84.0; O84.1; O84.2; O84.8; O84.9; Z37.1; Z37.3; Z37.4; Z37.6; Z37.7; Z37.9
W94,otherDiagnosis,W.7,Puerperal mastitis,产褥期乳腺炎,Puerperal mastitis,产褥期乳腺炎,breast abscess,乳腺脓肿,mastitis (puerperal/non-lactating) ,乳腺炎（产褥期/非哺乳期）,"pain, inflammation of breast within 6 weeks of parturition or while lactating",产后6周内或哺乳期间乳腺炎症疼痛,disorders of lactation ,泌乳障碍,,,O91.0; O91.1; O91.2
W95,otherDiagnosis,W.7,Breast disorder in pregnancy/puerperium other,妊娠或产褥期其他乳腺疾病,Breast dis in pregn/puerperium other,妊娠或产褥期其他乳腺病态,breast disorder in puerperium; cracked nipple,产褥期乳腺异常；乳头皲裂,disorders of lactation ,泌乳障碍,,,,,,,O92.0; O92.1; O92.2; O92.3; O92.4
W96,otherDiagnosis,W.7,Complications of puerperium other,产褥期其他并发症,Complications of puerperium other,产褥期其他并发症,,,puerperal depression ,产后抑郁,,,,,,,O87.0; O87.1; O87.2; O87.3; O87.8; O87.9; O90.4; O90.8; O90.9
W99,otherDiagnosis,W.7,Disorder of pregnancy/delivery other,妊娠和分娩的其他紊乱,Disorder of pregn/delivery other,妊娠和分娩其他障碍,,,pseudocyesis ,假孕症,,,,,,,O07.0; O07.1; O07.2; O07.3; O07.4; O07.5; O07.6; O07.7; O07.8; O07.9; O08.0; O08.1; O08.2; O08.3; O08.4; O08.5; O08.6; O08.7; O08.8; O08.9; O22.0; O22.1; O22.2; O22.3; O22.4; O22.5; O22.8; O22.9; O26.6; O26.7; O26.8; O26.9; O28.0; O28.1; O28.2; O28.3; O28.4; O28.5; O28.8; O28.9; O41.0; O41.8; O41.9; O47.0; O47.1; O47.9; O48; O88.0; O88.1; O88.2; O88.3; O88.8; O90.5; O94; O96.0; O96.1; O96.9; O97
X01,symptom,X.1,Genital pain female,女性生殖器疼痛,Genital pain female,女性生殖器疼痛,pelvic pain; vulval pain,盆腔痛；外阴痛,menstrual pain ,月经痛,,,,,,,N94.8; R10.2
X02,symptom,X.1,Menstrual pain,月经痛,Menstrual pain,月经痛,dysmenorrhoea,痛经,,,,,,,,,N94.4; N94.5; N94.6
X03,symptom,X.1,Intermenstrual pain,月经间期痛,Intermenstrual pain,月经间期痛,Mittelschmerz; ovulation pain,中腹痛；排卵痛,,,,,,,,,N94.0
X04,symptom,X.1,Painful intercourse female,女性性交痛,Painful intercourse female,女性性交痛,female dyspareunia; vaginismus NOS,女性性交痛；阴道痉挛NOS,psychogenic sexual problems (sexual desire reduced) ,心理性性功能障碍（性欲减退）,,,,,,,N94.1; N94.2
X05,symptom,X.1,Menstruation absent/scanty,月经缺失/稀少,Menstruation absent/scanty,月经缺失/稀少,amenorrhoea; delayed/late menses; oligomenorrhoea,闭经；月经延迟/迟经；月经过少症,question of pregnancy ,妊娠疑诊,,,,,,,N91.0; N91.1; N91.2; N91.3; N91.4; N91.5
X06,symptom,X.1,Menstruation excessive,月经过多,Menstruation excessive,月经过多,menorrhagia; pubertal bleeding,月经过多；青春期出血,,,,,,,,,N92.0; N92.2; N92.4
